council_name,development_type,application_status,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Nambucca Valley Council,Dwelling,Determined,3,204000.0,68000.0,2026-03-28 22:02:45.55
Nambucca Valley Council,Secondary dwelling,Deferred Commencement,1,20000.0,20000.0,2026-03-27 22:41:08.49
Newcastle City Council,Alterations and additions to commercial development,Determined,5,5954547.35,1190909.47,2026-03-22 07:31:12.41
Newcastle City Council,Alterations and additions to residential development,Determined,10,1897676.0,210852.88888888888,2026-03-22 08:16:33.453
Newcastle City Council,Alterations and additions to residential development,Withdrawn,1,100000.0,100000.0,2026-03-28 23:51:37.51
Newcastle City Council,"Balconies, decks, patios, terraces or verandahs",Determined,4,929602.0,232400.5,2026-03-22 08:16:33.453
Newcastle City Council,Change of use,Determined,1,600000.0,600000.0,2026-03-20 23:25:30.31
Newcastle City Council,Change of use,Withdrawn,1,20000.0,20000.0,2026-03-27 22:41:57.67
Newcastle City Council,Demolition,Determined,7,1803183.0,257597.57142857142,2026-03-22 08:36:24.93
Newcastle City Council,Dual occupancy,Determined,3,1277628.0,425876.0,2026-03-20 23:30:27.363
Newcastle City Council,Dwelling,Determined,8,4085369.0,510671.125,2026-03-22 08:36:24.93
Newcastle City Council,Dwelling,Withdrawn,1,375000.0,375000.0,2026-03-22 07:35:04.677
Newcastle City Council,Earthworks / change in levels,Determined,2,1019498.0,509749.0,2026-03-20 23:10:10.097
Newcastle City Council,"Garages, carports and car parking spaces",Determined,5,1735250.0,347050.0,2026-03-22 08:16:33.453
Newcastle City Council,Health services facilities,Withdrawn,1,20000.0,20000.0,2026-03-27 22:41:57.67
Newcastle City Council,Industrial development,Determined,2,337000.0,168500.0,2026-03-22 08:40:52.507
Newcastle City Council,Multi-dwelling housing,Determined,2,1734451.6,867225.8,2026-03-22 08:16:40.783
Newcastle City Council,Office premises,Determined,1,600000.0,600000.0,2026-03-20 23:25:30.31
Newcastle City Council,Other,Determined,2,52035.0,26017.5,2026-03-22 07:31:28.987
Newcastle City Council,Other,Withdrawn,1,45000.0,45000.0,2026-03-20 23:01:56.857
Newcastle City Council,Pools / decks / fencing,Determined,9,1728583.0,192064.77777777778,2026-03-22 08:16:33.453
Newcastle City Council,Pools / decks / fencing,Withdrawn,1,35805.0,35805.0,2026-03-20 23:25:43.75
Newcastle City Council,Restaurant or cafe,Determined,1,1000.0,1000.0,2026-03-20 23:20:19.317
Newcastle City Council,"Retaining walls, protection of trees",Determined,1,374000.0,374000.0,2026-03-20 22:58:27.403
Newcastle City Council,Secondary dwelling,Determined,2,350845.0,175422.5,2026-03-22 08:16:53.83
Newcastle City Council,Secondary dwelling,Withdrawn,1,80000.0,80000.0,2026-03-21 23:00:23.747
Newcastle City Council,Shed,Determined,1,170000.0,170000.0,2026-03-20 23:17:00.76
Newcastle City Council,Small bar,Determined,1,0.0,0.0,2026-03-28 22:02:13.217
Newcastle City Council,Subdivision of land,Determined,5,2689048.6,537809.72,2026-03-22 08:16:40.783
North Sydney Council,Alterations and additions to commercial development,Determined,4,268142.0,134071.0,2026-03-20 23:25:30.433
North Sydney Council,Alterations and additions to commercial development,Rejected,1,422008.0,422008.0,2026-03-27 22:43:06.853
North Sydney Council,Alterations and additions to residential development,Determined,9,2053760.0,228195.55555555556,2026-03-28 22:28:55.963
North Sydney Council,Alterations and additions to residential development,Rejected,6,951108.0,158518.0,2026-03-27 22:43:06.853
North Sydney Council,"Balconies, decks, patios, terraces or verandahs",Rejected,1,407100.0,407100.0,2026-03-20 22:54:27.403
North Sydney Council,"Balconies, decks, patios, terraces or verandahs",Withdrawn,1,93000.0,93000.0,2026-03-20 22:38:33.07
North Sydney Council,Demolition,Determined,2,2116100.0,1058050.0,2026-03-20 23:25:33.133
North Sydney Council,Demolition,Rejected,1,407100.0,407100.0,2026-03-20 22:54:27.403
North Sydney Council,Dwelling,Determined,1,3130000.0,3130000.0,2026-03-22 08:42:01.833
North Sydney Council,Dwelling,Rejected,1,1000000.0,1000000.0,2026-03-22 07:44:39.97
North Sydney Council,"Garages, carports and car parking spaces",Determined,1,716100.0,716100.0,2026-03-20 23:25:33.133
North Sydney Council,"Garages, carports and car parking spaces",Rejected,1,407100.0,407100.0,2026-03-20 22:54:27.403
North Sydney Council,Mixed use development,Determined,1,0.0,0.0,2026-03-20 22:51:33.087
North Sydney Council,Multi-dwelling housing,Determined,1,1400000.0,1400000.0,2026-03-20 22:38:16.863
North Sydney Council,Office premises,Determined,1,56016650.0,56016650.0,2026-03-22 07:34:56.033
North Sydney Council,Other,Determined,3,151000.0,50333.333333333336,2026-03-22 07:25:38.537
North Sydney Council,Recreational Uses,Determined,1,3000.0,3000.0,2026-03-29 00:00:06.09
North Sydney Council,Residential flat building,Determined,1,0.0,0.0,2026-03-22 07:28:34.997
North Sydney Council,Residential flat building,Withdrawn,1,93000.0,93000.0,2026-03-20 22:38:33.07
North Sydney Council,Restaurant or cafe,Determined,1,0.0,0.0,2026-03-22 07:59:18.443
North Sydney Council,Semi-attached dwelling,Rejected,1,422008.0,422008.0,2026-03-27 22:43:06.853
North Sydney Council,Stratum / community title subdivision,Determined,1,0.0,0.0,2026-03-22 07:28:50.24
North Sydney Council,Subdivision of land,Withdrawn,1,0.0,0.0,2026-03-22 07:28:37.443
North Sydney Council,Telecommunications and communication facilities,Determined,1,165341.0,165341.0,2026-03-20 23:21:18.067
Northern Beaches Council,Alterations and additions to commercial development,Determined,2,2184763.0,1092381.5,2026-03-22 07:53:04.003
Northern Beaches Council,Alterations and additions to industrial development,Determined,1,,,2026-03-20 23:30:44.7
Northern Beaches Council,Alterations and additions to residential development,Determined,67,21551476.0,331561.1692307692,2026-03-28 23:53:45.71
Northern Beaches Council,Alterations and additions to residential development,Withdrawn,4,547257.0,136814.25,2026-03-22 08:43:58.37
Northern Beaches Council,Attached dwelling,Determined,1,0.0,0.0,2026-03-20 23:11:49.737
Northern Beaches Council,"Balconies, decks, patios, terraces or verandahs",Determined,16,11288550.0,705534.375,2026-03-22 08:26:37.727
Northern Beaches Council,"Balconies, decks, patios, terraces or verandahs",Withdrawn,1,90000.0,90000.0,2026-03-20 22:48:08.933
Northern Beaches Council,Boarding house,Determined,1,94322.8,94322.8,2026-03-20 22:53:20.607
Northern Beaches Council,Boarding house,Withdrawn,1,1949090.0,1949090.0,2026-03-20 23:16:04.557
Northern Beaches Council,Change of use,Determined,4,2306713.0,576678.25,2026-03-28 23:30:04.937
Northern Beaches Council,Change of use,Operational consent issued,1,0.0,0.0,2026-03-27 22:43:53.387
Northern Beaches Council,Change of use,Withdrawn,1,27500.0,27500.0,2026-03-20 23:20:47.68
Northern Beaches Council,Demolition,Determined,17,68384307.0,4022606.294117647,2026-03-22 08:28:45.207
Northern Beaches Council,Dual occupancy,Deferred Commencement,1,1054145.0,1054145.0,2026-03-20 23:16:56.823
Northern Beaches Council,Dwelling,Determined,34,30493788.87,983670.6087096775,2026-03-28 23:34:59.807
Northern Beaches Council,Dwelling,Withdrawn,4,1341075.0,335268.75,2026-03-20 23:24:37.037
Northern Beaches Council,Earthworks / change in levels,Determined,7,52611439.0,8768573.166666666,2026-03-22 08:36:17.303
Northern Beaches Council,"Garages, carports and car parking spaces",Determined,18,14765720.0,820317.7777777778,2026-03-28 23:25:17.133
Northern Beaches Council,Health services facilities,Determined,1,0.0,0.0,2026-03-20 22:49:01.82
Northern Beaches Council,Health services facilities,Withdrawn,1,,,2026-03-20 23:25:05.88
Northern Beaches Council,Home business,Determined,1,2000.0,2000.0,2026-03-22 08:31:29.863
Northern Beaches Council,Office premises,Determined,1,20000.0,20000.0,2026-03-20 23:09:55.427
Northern Beaches Council,Other,Determined,11,1124595.3599999999,102235.9418181818,2026-03-28 23:53:37.78
Northern Beaches Council,Pools / decks / fencing,Determined,29,20754933.36,715687.3572413793,2026-03-28 23:53:37.78
Northern Beaches Council,Recreational Uses,Determined,1,180000.0,180000.0,2026-03-20 22:27:06.027
Northern Beaches Council,Residential flat building,Determined,2,0.0,0.0,2026-03-20 23:04:03.85
Northern Beaches Council,Residential flat building,Withdrawn,1,31311467.0,31311467.0,2026-03-20 23:25:54.593
Northern Beaches Council,Retail premises ,Determined,1,48290000.0,48290000.0,2026-03-20 23:00:05.723
Northern Beaches Council,"Retaining walls, protection of trees",Determined,5,5922585.0,1184517.0,2026-03-28 23:25:17.133
Northern Beaches Council,Secondary dwelling,Determined,16,6302955.0,420197.0,2026-03-22 08:26:37.727
Northern Beaches Council,Secondary dwelling,Withdrawn,4,501500.0,125375.0,2026-03-22 08:28:43.243
Northern Beaches Council,Shed,Determined,1,479500.0,479500.0,2026-03-20 23:25:47.613
Northern Beaches Council,Shop top housing,Determined,2,0.0,0.0,2026-03-22 08:42:01.27
Northern Beaches Council,Signage,Determined,4,50726713.0,12681678.25,2026-03-28 23:30:04.937
Northern Beaches Council,Small bar,Determined,1,0.0,0.0,2026-03-22 08:43:42.71
Northern Beaches Council,Stormwater management systems,Determined,1,1530000.0,1530000.0,2026-03-20 23:02:02.86
Northern Beaches Council,Stratum / community title subdivision,Withdrawn,1,3869733.0,3869733.0,2026-03-22 08:42:09.473
Northern Beaches Council,Subdivision of land,Determined,4,48306000.0,12076500.0,2026-03-20 23:15:55.11
Northern Beaches Council,Subdivision of land,Withdrawn,2,3897233.0,1948616.5,2026-03-22 08:42:09.473
Northern Beaches Council,Take-away food and drink premises,Determined,1,170000.0,170000.0,2026-03-20 22:54:20.32
Oberon Council,Dwelling,Determined,1,55000.0,55000.0,2026-03-28 23:52:36.737
Orange City Council,Alterations and additions to commercial development,Determined,1,15950.0,15950.0,2026-03-22 08:10:48.383
Orange City Council,Alterations and additions to residential development,Determined,2,404325.0,202162.5,2026-03-22 08:20:16.047
Orange City Council,Dwelling,Determined,1,460000.0,460000.0,2026-03-22 08:04:59.14
Orange City Council,Subdivision of land,Determined,4,1545000.0,386250.0,2026-03-28 23:51:43.193
Parkes Shire Council,"Garages, carports and car parking spaces",Determined,1,37675.0,37675.0,2026-03-22 07:59:32.323
Parkes Shire Council,Shed,Determined,1,37675.0,37675.0,2026-03-22 07:59:32.323
Penrith City Council,Alterations and additions to commercial development,Determined,2,261150.0,130575.0,2026-03-20 22:39:07.94
Penrith City Council,Alterations and additions to commercial development,Withdrawn,1,766007.0,766007.0,2026-03-20 23:04:49.17
Penrith City Council,Alterations and additions to industrial development,Determined,5,1551610.73,387902.6825,2026-03-22 08:29:33.35
Penrith City Council,Alterations and additions to residential development,Determined,14,2038650.0,145617.85714285713,2026-03-22 07:57:52.993
Penrith City Council,Alterations and additions to residential development,Withdrawn,1,3000.0,3000.0,2026-03-20 23:04:49.863
Penrith City Council,"Balconies, decks, patios, terraces or verandahs",Cancelled,1,37730.0,37730.0,2026-03-20 22:49:53.943
Penrith City Council,"Balconies, decks, patios, terraces or verandahs",Determined,5,1668757.75,333751.55,2026-03-20 23:11:43.123
Penrith City Council,Boarding house,Determined,2,2937137.0,1468568.5,2026-03-22 07:28:21.867
Penrith City Council,Centre based childcare,Determined,1,15000.0,15000.0,2026-03-20 22:27:34.35
Penrith City Council,Change of use,Determined,2,15000.0,7500.0,2026-03-20 23:09:17.883
Penrith City Council,Demolition,Determined,8,4473363.73,559170.46625,2026-03-22 08:30:26.72
Penrith City Council,Demolition,Withdrawn,1,2200000.0,2200000.0,2026-03-20 22:44:32.18
Penrith City Council,Dual occupancy,Determined,5,970988.63,194197.726,2026-03-22 08:32:02.197
Penrith City Council,Dual occupancy,Rejected,1,0.0,0.0,2026-03-28 22:05:00.527
Penrith City Council,Dual occupancy,Withdrawn,3,861330.0,287110.0,2026-03-22 08:17:07.717
Penrith City Council,Dwelling,Determined,34,17907780.77,526699.4344117647,2026-03-22 08:42:04.417
Penrith City Council,Dwelling,Withdrawn,1,2200000.0,2200000.0,2026-03-20 22:44:32.18
Penrith City Council,Earthworks / change in levels,Determined,1,226120.91,226120.91,2026-03-22 08:32:51.943
Penrith City Council,Farm buildings,Determined,1,60000.0,60000.0,2026-03-20 23:11:43.123
Penrith City Council,"Garages, carports and car parking spaces",Determined,6,619650.0,103275.0,2026-03-22 08:42:11.3
Penrith City Council,Home business,Determined,1,0.0,0.0,2026-03-20 23:15:32.087
Penrith City Council,Industrial development,Determined,5,16152548.5,4038137.125,2026-03-22 08:17:04.03
Penrith City Council,Mixed use development,Determined,1,400000.0,400000.0,2026-03-20 22:33:03.127
Penrith City Council,Multi-dwelling housing,Determined,4,4850000.0,1212500.0,2026-03-20 23:01:37.07
Penrith City Council,Other,Determined,6,6337101.48,1056183.58,2026-03-20 23:20:03.79
Penrith City Council,Other,Rejected,1,80000.0,80000.0,2026-03-20 22:28:14.923
Penrith City Council,Other,Withdrawn,1,33596.0,33596.0,2026-03-20 22:58:53.91
Penrith City Council,Place of public worship,Determined,1,246720.0,246720.0,2026-03-20 22:32:41.773
Penrith City Council,Pools / decks / fencing,Determined,9,2521720.0,280191.1111111111,2026-03-22 08:43:39.977
Penrith City Council,Retail premises ,Determined,1,45000.0,45000.0,2026-03-20 22:32:50.843
Penrith City Council,"Retaining walls, protection of trees",Determined,3,1009305.0,336435.0,2026-03-20 23:10:05.827
Penrith City Council,Secondary dwelling,Determined,7,802439.0,114634.14285714286,2026-03-22 08:43:31.22
Penrith City Council,Semi-attached dwelling,Determined,1,600000.0,600000.0,2026-03-20 23:04:30.547
Penrith City Council,Shed,Determined,7,910490.0,130070.0,2026-03-22 08:39:23.803
Penrith City Council,Signage,Determined,1,60310.8,60310.8,2026-03-22 08:43:54.9
Penrith City Council,Small bar,Determined,1,2000.0,2000.0,2026-03-20 22:33:48.78
Penrith City Council,Stormwater management systems,Determined,1,331938.73,331938.73,2026-03-20 22:54:29.83
Penrith City Council,Subdivision of land,Determined,10,7243861.0,724386.1,2026-03-22 08:17:04.03
Penrith City Council,Subdivision of land,Rejected,1,0.0,0.0,2026-03-28 22:05:00.527
Penrith City Council,Waste and resource management facilities ,Determined,3,22372510.099999998,7457503.366666666,2026-03-22 08:23:31.593
Port Macquarie-Hastings Council,Other,Determined,2,327443.0,163721.5,2026-03-28 21:59:05.907
Port Macquarie-Hastings Council,Subdivision of land,Determined,2,327443.0,163721.5,2026-03-28 22:00:33.467
Port Stephens Council,Alterations and additions to commercial development,Determined,1,405000.99,405000.99,2026-03-22 07:44:45.41
Port Stephens Council,Alterations and additions to residential development,Determined,1,46300.0,46300.0,2026-03-28 23:48:57.94
Port Stephens Council,Demolition,Determined,1,850000.0,850000.0,2026-03-20 23:09:48.283
Port Stephens Council,Dual occupancy,Determined,3,1555000.0,518333.3333333333,2026-03-22 08:11:09.613
Port Stephens Council,Dual occupancy,Under Assessment,1,600000.0,600000.0,2026-03-20 23:04:07.373
Port Stephens Council,Dwelling,Determined,1,314664.0,314664.0,2026-03-20 23:21:14.51
Port Stephens Council,Dwelling,Under Assessment,1,490000.0,490000.0,2026-03-20 23:20:56.08
Port Stephens Council,Earthworks / change in levels,Under Assessment,1,490000.0,490000.0,2026-03-20 23:20:56.08
Port Stephens Council,Other,Additional Information Requested,1,0.0,0.0,2026-03-20 22:50:42.53
Port Stephens Council,Other,Determined,2,86000.0,43000.0,2026-03-20 23:30:44.19
Port Stephens Council,Pools / decks / fencing,Determined,1,40605.0,40605.0,2026-03-20 22:48:20.08
Port Stephens Council,Secondary dwelling,Determined,1,85000.0,85000.0,2026-03-20 23:15:02.48
Port Stephens Council,Shed,Determined,2,935000.0,467500.0,2026-03-20 23:15:02.48
Port Stephens Council,Shed,Under Assessment,1,490000.0,490000.0,2026-03-20 23:20:56.08
Port Stephens Council,Subdivision of land,Additional Information Requested,1,0.0,0.0,2026-03-20 22:50:42.53
Port Stephens Council,Subdivision of land,Determined,1,700000.0,700000.0,2026-03-22 07:52:46.377
Port Stephens Council,Subdivision of land,Under Assessment,1,600000.0,600000.0,2026-03-20 23:04:07.373
Queanbeyan-Palerang Regional Council,Alterations and additions to residential development,Determined,5,2474300.0,494860.0,2026-03-28 23:52:09.877
Queanbeyan-Palerang Regional Council,"Balconies, decks, patios, terraces or verandahs",Determined,5,1415856.0,283171.2,2026-03-28 23:53:42.76
Queanbeyan-Palerang Regional Council,Demolition,Determined,1,1244000.0,1244000.0,2026-03-28 23:51:59.76
Queanbeyan-Palerang Regional Council,Dual occupancy,Determined,1,300000.0,300000.0,2026-03-20 23:21:15.083
Queanbeyan-Palerang Regional Council,Dwelling,Determined,22,7918825.0,359946.5909090909,2026-03-28 23:55:35.203
Queanbeyan-Palerang Regional Council,Earthworks / change in levels,Determined,1,1244000.0,1244000.0,2026-03-28 23:51:59.76
Queanbeyan-Palerang Regional Council,"Garages, carports and car parking spaces",Determined,6,2257490.0,376248.3333333333,2026-03-28 23:51:59.76
Queanbeyan-Palerang Regional Council,Industrial development,Deferred Commencement,1,600.0,600.0,2026-03-28 22:56:58.01
Queanbeyan-Palerang Regional Council,Other,Determined,2,944205.0,472102.5,2026-03-22 07:52:40.52
Queanbeyan-Palerang Regional Council,Pools / decks / fencing,Determined,3,1403210.0,467736.6666666667,2026-03-28 23:51:59.76
Queanbeyan-Palerang Regional Council,"Retaining walls, protection of trees",Determined,1,1244000.0,1244000.0,2026-03-28 23:51:59.76
Queanbeyan-Palerang Regional Council,Secondary dwelling,Determined,1,175369.0,175369.0,2026-03-20 23:21:22.43
Queanbeyan-Palerang Regional Council,Shed,Determined,2,340000.0,170000.0,2026-03-20 23:25:09.537
Queanbeyan-Palerang Regional Council,Stormwater management systems,Determined,1,827970.0,827970.0,2026-03-20 23:25:27.597
Randwick City Council,Alterations and additions to residential development,Determined,2,492200.0,246100.0,2026-03-22 08:28:35.377
Randwick City Council,Alterations and additions to residential development,Rejected,2,594000.0,297000.0,2026-03-22 08:15:51.63
Randwick City Council,Alterations and additions to residential development,Withdrawn,2,2281484.0,2281484.0,2026-03-20 23:21:01.72
Randwick City Council,Business premises,Withdrawn,1,27800.0,27800.0,2026-03-20 22:47:50.497
Randwick City Council,Demolition,Determined,1,1293000.0,1293000.0,2026-03-20 22:53:22.343
Randwick City Council,Dual occupancy,Determined,2,1293000.0,646500.0,2026-03-20 22:56:54.243
Randwick City Council,Dwelling,Determined,2,1778000.0,889000.0,2026-03-20 22:57:04.67
Randwick City Council,"Garages, carports and car parking spaces",Determined,1,485000.0,485000.0,2026-03-20 22:57:04.67
Randwick City Council,Other,Determined,1,0.0,0.0,2026-03-20 22:50:35.69
Randwick City Council,Other,Withdrawn,1,321200.0,321200.0,2026-03-22 08:04:28.553
Randwick City Council,Pools / decks / fencing,Determined,1,100000.0,100000.0,2026-03-28 23:55:13.357
Randwick City Council,Secondary dwelling,Determined,1,485000.0,485000.0,2026-03-20 22:57:04.67
Randwick City Council,Secondary dwelling,Rejected,1,97000.0,97000.0,2026-03-20 23:06:03.14
Randwick City Council,Signage,Rejected,1,53570.0,53570.0,2026-03-20 22:33:33.617
Richmond Valley Council,Other,Determined,1,0.0,0.0,2026-03-22 07:40:16.903
Ryde City Council,Alterations and additions to commercial development,Determined,2,40000.0,20000.0,2026-03-20 22:42:59.32
Ryde City Council,Alterations and additions to residential development,Determined,6,2345511.74,390918.62333333335,2026-03-22 08:36:20.347
Ryde City Council,Attached dwelling,Determined,1,1000000.0,1000000.0,2026-03-27 22:43:07.72
Ryde City Council,"Balconies, decks, patios, terraces or verandahs",Determined,3,861089.0,287029.6666666667,2026-03-22 07:51:57.153
Ryde City Council,Change of use,Determined,1,35000.0,35000.0,2026-03-22 07:44:58.29
Ryde City Council,Demolition,Determined,5,35296921.62,7059384.323999999,2026-03-22 08:29:42.723
Ryde City Council,Dual occupancy,Determined,11,7118673.4,790963.7111111111,2026-03-28 23:50:10.817
Ryde City Council,Dwelling,Determined,10,6376820.62,637682.062,2026-03-28 23:51:26.38
Ryde City Council,Entertainment facility,Withdrawn,1,63140.0,63140.0,2026-03-20 22:39:16.863
Ryde City Council,"Garages, carports and car parking spaces",Determined,4,590550.0,147637.5,2026-03-22 08:32:57.747
Ryde City Council,Manor houses,Determined,1,1339000.0,1339000.0,2026-03-20 22:24:47.157
Ryde City Council,Mixed use development,Determined,2,32632146.0,16316073.0,2026-03-20 23:01:44.397
Ryde City Council,Multi-dwelling housing,Determined,2,1318999.0,1318999.0,2026-03-28 23:37:44.163
Ryde City Council,Other,Determined,4,32644146.0,8161036.5,2026-03-28 23:38:16.14
Ryde City Council,Other,Withdrawn,1,1500.0,1500.0,2026-03-20 23:04:41.293
Ryde City Council,Pools / decks / fencing,Determined,6,2953563.62,492260.60333333333,2026-03-22 08:29:42.723
Ryde City Council,"Retaining walls, protection of trees",Determined,2,774199.0,387099.5,2026-03-22 07:25:09.857
Ryde City Council,School based child care,Determined,1,,,2026-03-20 22:38:42.593
Ryde City Council,Shop top housing,Determined,1,87450.0,87450.0,2026-03-21 23:19:20.253
Ryde City Council,Signage,Determined,4,182382.0,45595.5,2026-03-28 23:52:23.823
Ryde City Council,Subdivision of land,Determined,10,2227563.0,222756.3,2026-03-28 23:52:27.847
Ryde City Council,Take-away food and drink premises,Determined,1,32632146.0,32632146.0,2026-03-20 23:01:44.397
Shellharbour City Council,Alterations and additions to commercial development,Determined,1,150000.0,150000.0,2026-03-22 07:28:29.183
Shellharbour City Council,Alterations and additions to residential development,Determined,2,19500.0,9750.0,2026-03-20 23:11:37.923
Shellharbour City Council,Alterations and additions to residential development,Withdrawn,1,368280.0,368280.0,2026-03-28 23:53:28.047
Shellharbour City Council,"Balconies, decks, patios, terraces or verandahs",Determined,3,1245500.0,415166.6666666667,2026-03-27 22:51:57.29
Shellharbour City Council,Centre based childcare,Determined,1,1200000.0,1200000.0,2026-03-22 07:40:09.57
Shellharbour City Council,Demolition,Determined,11,6111500.45,611150.045,2026-03-22 08:20:47.707
Shellharbour City Council,Demolition,Withdrawn,1,1100000.0,1100000.0,2026-03-22 07:34:30.593
Shellharbour City Council,Dual occupancy,Determined,8,3975319.95,567902.85,2026-03-22 08:42:13.13
Shellharbour City Council,Dwelling,Determined,30,14011457.999999998,467048.5999999999,2026-03-28 23:53:34.517
Shellharbour City Council,Dwelling,Withdrawn,2,1381730.0,690865.0,2026-03-22 07:31:11.217
Shellharbour City Council,Earthworks / change in levels,Determined,1,1500.0,1500.0,2026-03-20 22:33:52.467
Shellharbour City Council,"Garages, carports and car parking spaces",Determined,1,106480.0,106480.0,2026-03-20 23:11:08.627
Shellharbour City Council,Multi-dwelling housing,Determined,10,8093450.5,809345.05,2026-03-22 07:58:58.3
Shellharbour City Council,Multi-dwelling housing,Withdrawn,1,1100000.0,1100000.0,2026-03-22 07:34:30.593
Shellharbour City Council,Other,Determined,2,111000.0,55500.0,2026-03-27 22:40:50.94
Shellharbour City Council,Other,Withdrawn,1,0.0,0.0,2026-03-22 07:28:13.973
Shellharbour City Council,Pools / decks / fencing,Determined,3,1237000.0,412333.3333333333,2026-03-28 23:51:52.97
Shellharbour City Council,Pub,Determined,1,150000.0,150000.0,2026-03-20 23:20:46.57
Shellharbour City Council,Residential flat building,Withdrawn,1,1700000.0,1700000.0,2026-03-22 07:35:12.77
Shellharbour City Council,"Retaining walls, protection of trees",Determined,2,111480.0,55740.0,2026-03-20 23:11:08.627
Shellharbour City Council,Secondary dwelling,Determined,2,551000.0,275500.0,2026-03-22 07:31:05.52
Shellharbour City Council,Shed,Determined,2,92000.0,46000.0,2026-03-22 07:58:32.917
Shellharbour City Council,Stormwater management systems,Determined,1,1500.0,1500.0,2026-03-20 22:33:52.467
Shellharbour City Council,Subdivision of land,Determined,11,4612319.95,461231.995,2026-03-28 23:48:03.8
Shoalhaven City Council,Alterations and additions to commercial development,Determined,1,70000.0,70000.0,2026-03-22 08:17:09.857
Shoalhaven City Council,Alterations and additions to residential development,Determined,12,1810080.0,181008.0,2026-03-29 00:00:04.933
Shoalhaven City Council,Alterations and additions to residential development,Withdrawn,1,12540.0,12540.0,2026-03-28 23:49:00.837
Shoalhaven City Council,"Balconies, decks, patios, terraces or verandahs",Determined,8,2936124.0,367015.5,2026-03-28 22:02:04.3
Shoalhaven City Council,Bed and breakfast accommodation,Determined,1,72270.0,72270.0,2026-03-22 07:59:21.153
Shoalhaven City Council,Change of use,Determined,1,183500.0,183500.0,2026-03-21 23:00:12.217
Shoalhaven City Council,Demolition,Determined,5,12301883.0,2460376.6,2026-03-22 08:43:52.543
Shoalhaven City Council,Dual occupancy,Determined,2,1087560.0,543780.0,2026-03-22 08:05:13.173
Shoalhaven City Council,Dwelling,Determined,17,7196827.0,423342.76470588235,2026-03-28 23:49:06.887
Shoalhaven City Council,Earthworks / change in levels,Determined,1,428859.0,428859.0,2026-03-28 22:02:04.3
Shoalhaven City Council,Earthworks / change in levels,Withdrawn,1,4752625.0,4752625.0,2026-03-20 23:20:16.77
Shoalhaven City Council,Farm buildings,Withdrawn,1,4752625.0,4752625.0,2026-03-20 23:20:16.77
Shoalhaven City Council,"Garages, carports and car parking spaces",Determined,10,2716460.0,271646.0,2026-03-28 23:47:59.727
Shoalhaven City Council,Hotel or motel accommodation,Determined,1,6815000.0,6815000.0,2026-03-22 08:43:52.543
Shoalhaven City Council,Industrial development,Determined,1,4854441.9,4854441.9,2026-03-22 07:37:47.007
Shoalhaven City Council,Multi-dwelling housing,Determined,1,900000.0,900000.0,2026-03-22 08:04:04.817
Shoalhaven City Council,Other,Determined,4,5090773.0,1272693.25,2026-03-22 07:31:05.01
Shoalhaven City Council,Other,Withdrawn,2,4802625.0,2401312.5,2026-03-20 23:30:41.883
Shoalhaven City Council,Pools / decks / fencing,Determined,8,2449569.0,306196.125,2026-03-28 23:52:19.203
Shoalhaven City Council,Pools / decks / fencing,Withdrawn,1,12540.0,12540.0,2026-03-28 23:49:00.837
Shoalhaven City Council,"Retaining walls, protection of trees",Determined,3,770841.95,256947.31666666665,2026-03-22 07:40:22.903
Shoalhaven City Council,Secondary dwelling,Determined,2,648940.0,324470.0,2026-03-22 08:04:36.943
Shoalhaven City Council,Shed,Determined,1,28000.0,28000.0,2026-03-22 07:37:22.507
Shoalhaven City Council,Shed,Withdrawn,1,100000.0,100000.0,2026-03-22 07:59:26.66
Shoalhaven City Council,Signage,Determined,2,3513673.0,1756836.5,2026-03-22 07:28:16.05
Shoalhaven City Council,Stormwater management systems,Determined,1,428859.0,428859.0,2026-03-28 22:02:04.3
Shoalhaven City Council,Stratum / community title subdivision,Determined,2,1509900.0,754950.0,2026-03-22 08:04:04.817
Shoalhaven City Council,Subdivision of land,Determined,5,4975683.0,995136.6,2026-03-28 22:05:02.53
Shoalhaven City Council,Take-away food and drink premises,Determined,1,3487273.0,3487273.0,2026-03-20 22:43:47.45
Singleton Council,Dwelling,Determined,3,1236902.0,412300.6666666667,2026-03-28 23:57:42.093
Singleton Council,"Garages, carports and car parking spaces",Determined,1,230000.0,230000.0,2026-03-28 23:57:42.093
Singleton Council,Industrial development,Determined,1,910800.0,910800.0,2026-03-28 21:59:03.973
Singleton Council,Office premises,Determined,1,910800.0,910800.0,2026-03-28 21:59:03.973
Singleton Council,Pools / decks / fencing,Determined,1,21695.0,21695.0,2026-03-28 22:00:25.683
Singleton Council,Shed,Determined,1,9000.0,9000.0,2026-03-22 08:11:51.47
Singleton Council,Stormwater management systems,Determined,1,552482.0,552482.0,2026-03-28 22:00:36.997
Singleton Council,Subdivision of land,Withdrawn,1,0.0,0.0,2026-03-28 22:00:23.72
Snowy Monaro Regional Council,Dwelling,Determined,1,415647.0,415647.0,2026-03-28 23:47:50.45
Snowy Monaro Regional Council,Other,Determined,1,411500.0,411500.0,2026-03-28 23:51:35.237
Snowy Valleys Council,Dwelling,Determined,1,66000.0,66000.0,2026-03-22 07:40:20.163
Snowy Valleys Council,Shed,Determined,1,50000.0,50000.0,2026-03-20 23:21:08.26
