council_name,application_status,application_type,application_count,total_development_cost,average_development_cost,latest_source_updated_at
The Hills Shire Council,Rejected,Development Application,6,1315235.0,219205.83333333334,2026-03-28 23:48:04.34
The Hills Shire Council,Rejected,Modification Application,3,950000.0,950000.0,2026-03-27 22:40:17.673
The Hills Shire Council,Under Assessment,Modification Application,1,3330000.0,3330000.0,2026-03-22 08:38:17.537
The Hills Shire Council,Withdrawn,Development Application,15,7286937.29,485795.81933333335,2026-03-28 23:50:01.167
The Hills Shire Council,Withdrawn,Modification Application,1,300000.0,300000.0,2026-03-20 23:15:19.303
Tweed Shire Council,Determined,Development Application,31,13867164.0,447327.87096774194,2026-03-28 23:51:26.93
Tweed Shire Council,Determined,Modification Application,4,1791000.0,895500.0,2026-03-28 23:52:40.9
Tweed Shire Council,Withdrawn,Development Application,2,356000.0,178000.0,2026-03-22 07:51:37.68
Tweed Shire Council,Withdrawn,Modification Application,1,,,2026-03-22 07:52:41.017
Upper Hunter Shire Council,Determined,Development Application,4,417400.0,104350.0,2026-03-28 21:59:09.897
Upper Hunter Shire Council,Determined,Modification Application,1,0.0,0.0,2026-03-22 08:34:30.7
Upper Lachlan Shire Council,Determined,Development Application,3,1618634.0,539544.6666666666,2026-03-27 22:41:00.037
Uralla Shire Council,Determined,Development Application,3,735000.0,245000.0,2026-03-28 23:50:50.71
Wagga Wagga City Council,Determined,Development Application,10,2346657.15,234665.715,2026-03-28 23:48:43.397
Wagga Wagga City Council,Determined,Modification Application,2,170000.0,85000.0,2026-03-22 08:23:05.663
Walgett Shire Council,Withdrawn,Development Application,1,38200.0,38200.0,2026-03-22 08:10:39.337
Warrumbungle Shire Council,Determined,Development Application,1,169625.0,169625.0,2026-03-22 07:58:09.057
Waverley Council,Deferred Commencement,Development Application,1,442530.0,442530.0,2026-03-20 23:16:46.493
Waverley Council,Determined,Development Application,31,13600785.799999999,438735.02580645157,2026-03-28 23:53:38.423
Waverley Council,Determined,Modification Application,18,47109852.0,3140656.8,2026-03-22 08:43:35.143
Waverley Council,Rejected,Development Application,1,2390672.0,2390672.0,2026-03-22 07:59:14.197
Willoughby City Council,Determined,Development Application,22,4850710.0,220486.81818181818,2026-03-28 23:33:46.71
Willoughby City Council,Determined,Modification Application,8,1813944.0,362788.8,2026-03-28 23:57:58.687
Willoughby City Council,Withdrawn,Development Application,2,39800.0,19900.0,2026-03-28 23:52:26.15
Wingecarribee Shire Council,Determined,Development Application,28,8528574.0,304591.9285714286,2026-03-28 23:52:33.763
Wingecarribee Shire Council,Determined,Modification Application,3,2712890.0,904296.6666666666,2026-03-28 22:00:48.577
Wingecarribee Shire Council,Rejected,Development Application,1,80000.0,80000.0,2026-03-20 23:21:28.28
Wingecarribee Shire Council,Withdrawn,Development Application,1,228937.0,228937.0,2026-03-20 22:45:50.723
Wollondilly Shire Council,Determined,Development Application,151,56497741.5,374157.2284768212,2026-03-28 23:57:45.47
Wollondilly Shire Council,Determined,Modification Application,24,2039755.0,145696.7857142857,2026-03-28 23:53:42.113
Wollondilly Shire Council,Rejected,Development Application,1,280000.0,280000.0,2026-03-20 22:58:30.053
Wollondilly Shire Council,Withdrawn,Development Application,12,3471350.0,289279.1666666667,2026-03-22 07:40:23.92
Wollondilly Shire Council,Withdrawn,Modification Application,2,0.0,0.0,2026-03-22 07:31:09.66
Wollongong City Council,Determined,Development Application,139,67662837.59,486783.0042446043,2026-03-28 23:53:35.16
Wollongong City Council,Determined,Modification Application,49,27449828.240000002,807347.8894117648,2026-03-28 23:51:25.717
Wollongong City Council,Determined,Review of determination,2,160000.0,160000.0,2026-03-22 08:32:57.087
Wollongong City Council,Rejected,Development Application,2,84635.0,42317.5,2026-03-20 22:53:33.513
Wollongong City Council,Withdrawn,Development Application,9,5968977.0,663219.6666666666,2026-03-22 08:38:22.357
Wollongong City Council,Withdrawn,Modification Application,2,1100000.0,550000.0,2026-03-28 23:48:06.09
Woollahra Municipal Council,Additional Information Requested,Development Application,1,40000.0,40000.0,2026-03-20 23:11:42.097
Woollahra Municipal Council,Determined,Development Application,27,25764936.79,954256.9181481481,2026-03-28 23:57:49.26
Woollahra Municipal Council,Determined,Modification Application,15,3492481.0,349248.1,2026-03-28 23:52:32.637
Woollahra Municipal Council,Under Assessment,Development Application,1,15000.0,15000.0,2026-03-20 23:01:23.163
Woollahra Municipal Council,Withdrawn,Development Application,4,3544500.0,886125.0,2026-03-20 23:25:27.447
Yass Valley Council,Determined,Development Application,8,3167747.15,395968.39375,2026-03-28 23:49:06.36
Yass Valley Council,Determined,Modification Application,3,487647.4,243823.7,2026-03-28 23:47:57.323
