council_name,application_status,application_type,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Canterbury-Bankstown Council,Withdrawn,Modification Application,4,666652.0,166663.0,2026-03-22 07:28:33.523
Canterbury-Bankstown Council,Withdrawn,Review of determination,2,3163213.0,1581606.5,2026-03-22 07:44:39.383
Central Coast Council,Deferred Commencement,Development Application,1,950000.0,950000.0,2026-03-20 22:54:26.917
Central Coast Council,Determined,Development Application,346,81835328.64,236518.290867052,2026-03-28 23:53:40.95
Central Coast Council,Determined,Modification Application,71,58423271.0,927353.5079365079,2026-03-28 23:57:52.29
Central Coast Council,Determined,Review of determination,1,43023453.0,43023453.0,2026-03-20 23:04:31.68
Central Coast Council,Under Assessment,Development Application,1,672355.0,672355.0,2026-03-20 23:24:52.843
Central Coast Council,Under Assessment,Modification Application,1,1548250.0,1548250.0,2026-03-20 23:04:38.807
Central Coast Council,Withdrawn,Development Application,17,6089149.0,358185.23529411765,2026-03-28 22:03:33.297
Central Coast Council,Withdrawn,Modification Application,9,2140200.0,237800.0,2026-03-28 23:29:46.087
Central Coast Council,Withdrawn,Review of determination,1,2200000.0,2200000.0,2026-03-20 23:21:12.363
Cessnock City Council,Deferred Commencement,Development Application,1,10000.0,10000.0,2026-03-20 23:20:16.53
Cessnock City Council,Deferred Commencement,Modification Application,1,5000.0,5000.0,2026-03-20 22:42:44.23
Cessnock City Council,Determined,Development Application,85,26157431.0,307734.4823529412,2026-03-28 23:58:00.793
Cessnock City Council,Determined,Modification Application,21,8793122.0,462795.8947368421,2026-03-28 23:52:38.513
Cessnock City Council,Rejected,Development Application,3,866735.0,288911.6666666667,2026-03-20 23:20:48.783
Cessnock City Council,Withdrawn,Development Application,5,1550965.0,310193.0,2026-03-22 08:31:40.67
City of Canada Bay Council,Deferred Commencement,Development Application,1,959290.0,959290.0,2026-03-28 22:15:40.107
City of Canada Bay Council,Determined,Development Application,28,14383466.0,513695.21428571426,2026-03-27 22:39:00.437
City of Canada Bay Council,Determined,Modification Application,4,1112500.0,370833.3333333333,2026-03-22 08:38:20.24
City of Canada Bay Council,Operational consent issued,Development Application,1,809000.0,809000.0,2026-03-20 23:21:06.067
City of Canada Bay Council,Withdrawn,Development Application,5,30347860.0,6069572.0,2026-03-20 23:06:02.263
City of Parramatta Council,Deferred Commencement,Development Application,3,2310000.0,770000.0,2026-03-22 07:40:14.78
City of Parramatta Council,Determined,Development Application,90,53017134.190000005,589079.2687777778,2026-03-28 23:53:39.597
City of Parramatta Council,Determined,Modification Application,51,10791854.0,291671.7297297297,2026-03-28 23:48:13.963
City of Parramatta Council,Rejected,Development Application,6,2392702.0,398783.6666666667,2026-03-21 22:57:57.053
City of Parramatta Council,Rejected,Modification Application,1,,,2026-03-20 22:53:47.357
City of Parramatta Council,Rejected,Review of determination,1,0.0,0.0,2026-03-20 23:21:20.22
City of Parramatta Council,Withdrawn,Development Application,21,18943480.83,902070.5157142857,2026-03-22 08:10:15.23
City of Parramatta Council,Withdrawn,Modification Application,5,988000.0,197600.0,2026-03-28 23:48:54.72
City of Parramatta Council,Withdrawn,Review of determination,1,,,2026-03-20 22:38:00.227
Clarence Valley Council,Determined,Development Application,35,12717328.22,363352.2348571429,2026-03-28 23:57:43.393
Clarence Valley Council,Determined,Modification Application,2,472692.0,472692.0,2026-03-28 23:48:53.567
Clarence Valley Council,Withdrawn,Development Application,1,292393.0,292393.0,2026-03-22 08:40:56.627
Coffs Harbour City Council,Determined,Development Application,44,9045713.059999999,205584.3877272727,2026-03-28 23:57:51.137
Coffs Harbour City Council,Determined,Modification Application,7,3138576.0,448368.0,2026-03-28 23:48:45.353
Coffs Harbour City Council,Determined,Review of determination,1,1181103.0,1181103.0,2026-03-20 22:26:54.067
Coffs Harbour City Council,Under Assessment,Development Application,1,185000.0,185000.0,2026-03-20 22:32:50.323
Coffs Harbour City Council,Withdrawn,Modification Application,1,22345.0,22345.0,2026-03-20 23:21:02.7
Coolamon Shire Council,Determined,Development Application,1,12400.0,12400.0,2026-03-22 07:40:13.753
Cootamundra-Gundagai Regional Council,Determined,Development Application,1,42990.0,42990.0,2026-03-22 07:40:08.553
Council of the City of Sydney,Determined,Development Application,77,29308682.03,380632.2341558442,2026-03-29 00:00:10.857
Council of the City of Sydney,Determined,Modification Application,50,408920584.81,9509781.042093024,2026-03-28 23:55:17.033
Council of the City of Sydney,Operational consent declined,Development Application,1,9000.0,9000.0,2026-03-20 23:06:45.42
Council of the City of Sydney,Rejected,Development Application,1,47410.0,47410.0,2026-03-20 23:03:57.37
Council of the City of Sydney,Withdrawn,Development Application,7,1098800.0,156971.42857142858,2026-03-22 07:44:11.223
Council of the City of Sydney,Withdrawn,Modification Application,1,,,2026-03-20 22:32:15.623
Cowra Shire Council,Determined,Development Application,6,5879007.5,979834.5833333334,2026-03-28 23:07:03.75
Cowra Shire Council,Withdrawn,Development Application,1,0.0,0.0,2026-03-28 23:53:44.64
Cumberland Council,Deferred Commencement,Development Application,3,0.0,0.0,2026-03-22 08:36:33.89
Cumberland Council,Determined,Development Application,30,10911904.1,363730.13666666666,2026-03-27 22:39:20.83
Cumberland Council,Determined,Modification Application,18,4116052.0,457339.1111111111,2026-03-28 23:48:49.133
Cumberland Council,Rejected,Development Application,6,1976735.0,329455.8333333333,2026-03-28 23:49:00.283
Cumberland Council,Under Assessment,Development Application,2,1548575.0,774287.5,2026-03-20 23:15:56.693
Cumberland Council,Under Assessment,Modification Application,3,407645.0,407645.0,2026-03-20 23:20:34.48
Cumberland Council,Withdrawn,Development Application,7,11540573.0,1648653.2857142857,2026-03-22 08:39:27.863
Cumberland Council,Withdrawn,Modification Application,1,,,2026-03-20 22:49:01.37
Dubbo Regional Council,Determined,Development Application,6,1385813.0,230968.83333333334,2026-03-28 23:53:39.043
Dubbo Regional Council,Determined,Modification Application,2,24500.0,12250.0,2026-03-28 22:02:08.477
Dubbo Regional Council,Withdrawn,Development Application,1,0.0,0.0,2026-03-28 21:56:06.81
Dungog Shire Council,Determined,Development Application,6,813573.0,135595.5,2026-03-28 23:59:59.717
Eurobodalla Shire Council,Determined,Development Application,4,174492.0,43623.0,2026-03-28 22:03:08.287
Eurobodalla Shire Council,Determined,Modification Application,2,67000.0,33500.0,2026-03-22 08:16:25.283
Fairfield City Council,Determined,Development Application,20,10068176.2,503408.80999999994,2026-03-22 08:42:15.893
Fairfield City Council,Determined,Modification Application,5,5130000.0,1282500.0,2026-03-22 07:58:32.44
Fairfield City Council,Withdrawn,Development Application,2,105000.0,52500.0,2026-03-20 23:20:17.287
Fairfield City Council,Withdrawn,Review of determination,1,0.0,0.0,2026-03-20 22:56:29.683
Federation Council,Determined,Development Application,1,6510.49,6510.49,2026-03-28 23:55:20.49
Forbes Shire Council,Determined,Development Application,2,657155.0,328577.5,2026-03-22 07:34:46.06
Georges River Council,Determined,Development Application,13,22900411.46,1761570.1123076924,2026-03-20 23:30:45.237
Georges River Council,Determined,Modification Application,11,2277700.0,227770.0,2026-03-28 22:02:05.76
Georges River Council,Determined,Review of determination,1,1230202.0,1230202.0,2026-03-20 22:33:05.733
Georges River Council,Withdrawn,Development Application,2,1300000.0,650000.0,2026-03-20 22:50:24.83
Georges River Council,Withdrawn,Modification Application,2,200000.0,200000.0,2026-03-20 22:58:19.913
Goulburn Mulwaree Council,Determined,Development Application,14,4426627.0,316187.64285714284,2026-03-28 23:55:11.65
Goulburn Mulwaree Council,Withdrawn,Development Application,3,1104000.0,368000.0,2026-03-22 08:10:47.88
Goulburn Mulwaree Council,Withdrawn,Modification Application,1,85000.0,85000.0,2026-03-28 21:56:35.77
Greater Hume Shire Council,Determined,Development Application,6,1208820.6,201470.1,2026-03-28 23:49:05.047
Griffith City Council,Determined,Development Application,10,1546000.0,154600.0,2026-03-28 23:53:37.137
Griffith City Council,Rejected,Development Application,1,320000.0,320000.0,2026-03-28 23:50:08.313
Griffith City Council,Withdrawn,Development Application,1,12000.0,12000.0,2026-03-28 22:00:24.99
Gwydir Shire Council,Determined,Development Application,1,18000.0,18000.0,2026-03-28 22:00:38.38
Hawkesbury City Council,Determined,Development Application,34,17904708.189999998,526609.0644117646,2026-03-28 23:29:31.43
Hawkesbury City Council,Determined,Modification Application,1,235000.0,235000.0,2026-03-22 08:38:16.483
Hawkesbury City Council,Rejected,Development Application,2,2830170.0,1415085.0,2026-03-20 23:20:51.5
Hawkesbury City Council,Withdrawn,Development Application,4,200200.0,50050.0,2026-03-28 23:52:32.1
Hilltops Council,Determined,Development Application,4,517250.0,129312.5,2026-03-28 22:02:01.007
Hilltops Council,Withdrawn,Development Application,1,1000.0,1000.0,2026-03-22 07:28:23.043
Inner West Council,Deferred Commencement,Development Application,4,13650378.4,3412594.6,2026-03-20 22:58:55.187
Inner West Council,Determined,Development Application,116,35501726.44,306049.36586206895,2026-03-28 23:55:17.663
Inner West Council,Determined,Modification Application,46,30206673.88,755166.847,2026-03-28 23:52:29.08
Inner West Council,Operational consent issued,Development Application,1,650000.0,650000.0,2026-03-20 23:18:25.613
Inner West Council,Rejected,Development Application,16,4607800.0,287987.5,2026-03-28 23:48:42.753
Inner West Council,Rejected,Modification Application,3,52450.0,17483.333333333332,2026-03-20 23:21:15.58
Inner West Council,Withdrawn,Development Application,7,1365300.0,195042.85714285713,2026-03-22 07:37:16.747
Inner West Council,Withdrawn,Modification Application,4,425000.0,106250.0,2026-03-20 23:05:30.477
Junee Shire Council,Determined,Development Application,3,1049200.0,349733.3333333333,2026-03-28 23:51:44.357
Ku-ring-gai Council,Determined,Development Application,16,5375092.64,335943.29,2026-03-28 23:53:41.553
Ku-ring-gai Council,Determined,Modification Application,5,1543736.99,514578.99666666664,2026-03-22 08:40:57.223
Ku-ring-gai Council,Withdrawn,Development Application,5,2810890.0,562178.0,2026-03-28 23:46:36.83
Kyogle Council,Determined,Development Application,1,236900.0,236900.0,2026-03-22 07:34:18.327
Kyogle Council,Determined,Modification Application,1,0.0,0.0,2026-03-22 08:20:59.083
Lake Macquarie City Council,Deferred Commencement,Development Application,1,17910000.0,17910000.0,2026-03-27 22:51:41.61
Lake Macquarie City Council,Determined,Development Application,57,36862897.0,646717.4912280702,2026-03-28 23:53:46.88
Lake Macquarie City Council,Determined,Modification Application,5,2434325.0,486865.0,2026-03-28 23:55:31.237
Lake Macquarie City Council,Rejected,Development Application,1,144100.0,144100.0,2026-03-20 22:47:41.977
Lake Macquarie City Council,Withdrawn,Development Application,4,1111010.0,277752.5,2026-03-20 23:14:25.157
Lane Cove Municipal Council,Determined,Development Application,17,6630366.0,390021.5294117647,2026-03-28 23:47:43.843
Lane Cove Municipal Council,Determined,Modification Application,13,3111106.42,259258.86833333332,2026-03-20 23:25:21.193
Lane Cove Municipal Council,Withdrawn,Development Application,2,428500.0,214250.0,2026-03-20 22:39:41.87
Lane Cove Municipal Council,Withdrawn,Modification Application,1,2500000.0,2500000.0,2026-03-20 23:25:28.09
Leeton Shire Council,Determined,Development Application,1,15000.0,15000.0,2026-03-20 22:40:44.87
Lismore City Council,Determined,Development Application,2,613295.0,306647.5,2026-03-27 22:42:02.64
Lithgow City Council,Determined,Development Application,1,880.0,880.0,2026-03-27 22:41:59.74
Liverpool City Council,Determined,Development Application,39,23718950.66,608178.2220512821,2026-03-28 23:49:05.65
Liverpool City Council,Determined,Modification Application,7,33588901.0,6717780.2,2026-03-22 08:38:15.997
Liverpool City Council,Rejected,Development Application,2,600000.0,300000.0,2026-03-22 08:17:01.32
